CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
-0.5287309743866658,0.30646203134389954,-1.287909498957745,-0.2725985670699271,-0.14421743255530314,0.4218336060589663,-0.12001341619804987,0.146015914278143,-0.9828428567665056,-0.6666082090210984,-1.4590003802772022,-1.0811559602528755
-0.5252553907412714,-0.49461803007855587,-0.5933810131002402,-0.2725985670699271,-0.7402622069004932,0.1981530323004367,0.36716641853177445,0.56844846525311,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,-0.49377211934686577
-0.5252587023979131,-0.49461803007855587,-0.5933810131002402,-0.2725985670699271,-0.7402622069004932,1.3078410735440509,-0.2658117608982163,0.56844846525311,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,-1.2152940969982384
-0.5244175416109381,-0.49461803007855587,-1.3068777139076349,-0.2725985670699271,-0.8352838375932041,1.0362289482658371,-0.8098885106329836,1.0958750831674708,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,-1.3691999591587074
-0.5183439633301821,-0.49461803007855587,-1.3068777139076349,-0.2725985670699271,-0.8352838375932041,1.2526471657335054,-0.5111797068570327,1.0958750831674708,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,-1.0317366467151103
-0.5248348103477839,-0.49461803007855587,-1.3068777139076349,-0.2725985670699271,-0.8352838375932041,0.21122527362398635,-0.3511571334056307,1.0958750831674708,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,-1.04868041135663
-0.5151581496409304,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.39590771229202315,-0.07022861556872506,0.8542442419587825,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,-0.029230572091872648
-0.5058424595080151,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.1635123109844596,0.978808254834911,1.0420776644650382,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.9196202478332198
-0.4947997404364879,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.9492992616556575,1.1174944851594597,1.1054594039568926,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,2.4417351047963898
-0.5016217531182531,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.4075274823574013,0.6160904216783999,1.351087725695843,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.6301642685405953
-0.49253953477857304,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,0.13424429694085607,0.9147992254543502,1.2328971567649833,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,1.103177698116348
-0.5103264426007871,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.40026512606653886,0.5094087060441319,1.1751022575322891,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.08937578039876391
-0.514249099892802,0.061687568131482615,-0.47665353648553344,-0.2725985670699271,-0.26515405343693593,-0.5745616770472115,-1.051700399403991,0.8014582339929216,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.4338989947763275
-0.4255000135536632,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.48741340155687585,-0.24091936058355387,0.44341883324638137,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.6180263933846757
-0.4241422343305934,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.27390012660555163,0.5663056210490747,0.3251319394834676,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.3356303160260171
-0.4258924448656968,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.6544475962466874,-0.42939039153742736,0.34280754616546644,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.5883748052620164
-0.35526474366957694,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.507747999171288,-1.396637946621458,0.34280754616546644,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.8552390983659488
-0.3999274009669685,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.4278620799718122,0.4667360197904245,0.2268806107878877,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.28705303454982495
-0.3968624627451366,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-1.2034817318358046,-1.1370457719114055,0.004659223238178699,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.13371712071457634
-0.40959743836053863,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.8098620208711194,0.032897042877734275,0.004659223238178699,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.19160831657310134
-0.32250252451389577,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-1.0379000084041659,1.0499293985910896,0.005333497062560056,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,1.1836605801635656
-0.3886942616385473,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.4641738614261195,0.7334403088760947,0.10859371702497352,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.16844668205918836
-0.32570158482971384,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.20708644872962678,0.8223417385713181,0.09154422175132892,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.8589050912011083
-0.366110419170927,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.6849494926683048,1.1174944851594597,0.1485203599115599,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,1.0226948160691303
-0.4055472822878208,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.5237251830111819,0.9076871110787322,0.2951267542984941,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.5172058375971317
-0.39059846420748673,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.9957783419171702,0.6089783073027819,0.3216160831134788,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.546857425719791
-0.4185206971814204,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.6849494926683048,0.7725569379419928,0.43113741715943427,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.3068207599649311
-0.37151835446671466,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.34507121825599346,0.7192160801248587,0.3210381341211519,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.6555799155028744
-0.40178358451460416,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,0.30563590540518454,0.9183552826421595,0.3216642455295059,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.02301270221947932
-0.3637889478651419,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,0.5656282606180214,0.6658752223077247,0.21777791415873823,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,-0.09276968949757071
-0.3425347355391374,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.8301966184855315,0.9076871110787322,0.2148881691971034,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,1.4067534812769062
-0.30545908360772844,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.30875943680168616,1.1174944851594597,0.18695396790130134,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,0.05690023150251812
-0.29995014278437093,-0.49461803007855587,-0.4372580131280699,-0.2725985670699271,-0.14421743255530314,-0.4859609302987031,0.47740419135385126,0.09785349825089808,-0.6379617988442783,-0.6012760972551554,1.1764658292771952,2.1282754589282784
